size,encode,send,receive,decode
1024,0.000162,0.007574,0.004246,0.002086
10240,0.000210,0.007348,0.004350,0.002142
102400,0.000595,0.007337,0.004912,0.002704
1048576,0.004467,0.008275,0.013019,0.008343
10485760,0.026202,0.020297,0.094773,0.046555
104857600,0.300875,0.263065,0.844886,0.488917
